Unbearbeiteter Daten-Export (tab separat)


Klient:	VP0,Vor-vorversuch
Sitzung:	iads
Datum:	15-11-2007
Zeit:	13:02:44
Dauer:	197	Sekunden.
Ausgabegeschwindigkeit:	32	Samples/sek.

Beispiele	32 SPS	
ZEIT	Sensor-13:SC/GSR	Ereignisse	


434	2.807		
435	2.805		
436	2.803		
437	2.802		
438	2.800		
439	2.798		
440	2.797		
441	2.795		
442	2.794		
443	2.792		
444	2.791		
445	2.789		
446	2.787		
447	2.786		
448	2.784		
449	2.783		
450	2.781		
451	2.780		
452	2.778		
453	2.777		
454	2.775		
455	2.773		
456	2.772		
457	2.770		
458	2.769		
459	2.767		
460	2.766		
461	2.764		
462	2.763		
463	2.761		
464	2.760		
465	2.758		
466	2.757		
467	2.756		
468	2.754		
469	2.753		
470	2.751		
471	2.750		
472	2.749		
473	2.747		
474	2.746		
475	2.744		
476	2.744		
477	2.742		
478	2.741		
479	2.740		
480	2.739		
481	2.737		
482	2.736		
483	2.735		
484	2.733		
485	2.732		
486	2.730		
487	2.729		
488	2.727		
489	2.726		
490	2.724		
491	2.723		
492	2.722		
493	2.720		
494	2.719		
495	2.717		
496	2.716		
497	2.714		
498	2.713		
499	2.711		
500	2.710		
501	2.709		
502	2.707		
503	2.706		
504	2.705		
505	2.703		
506	2.702		
507	2.701		
508	2.700		
509	2.699		
510	2.698		
511	2.696		
512	2.695		
513	2.694		
514	2.693		
515	2.692		
516	2.690		
517	2.690		
518	2.688		
519	2.687		
520	2.686		
521	2.685		
522	2.684		
523	2.683		
524	2.682		
525	2.681		
526	2.680		
527	2.679		
528	2.677		
529	2.676		
530	2.675		
531	2.675		
532	2.673		
533	2.673		
534	2.671		
535	2.671		
536	2.670		
537	2.668		
538	2.668		
539	2.667		
540	2.666		
541	2.665		
542	2.664		
543	2.663		
544	2.662		
545	2.661		
546	2.660		
547	2.660		
548	2.658		
549	2.658		
550	2.657		
551	2.656		
552	2.655		
553	2.654		
554	2.653		
555	2.652		
556	2.652		
557	2.651		
558	2.650		
559	2.649		
560	2.648		
561	2.648		
562	2.647		
563	2.646		
564	2.645		
565	2.644		
566	2.643		
567	2.643		
568	2.642		
569	2.641		
570	2.641		
571	2.640		
572	2.639		
573	2.638		
574	2.637		
575	2.637		
576	2.636		
577	2.635		
578	2.635		
579	2.634		
580	2.633		
581	2.633		
582	2.632		
583	2.632		
584	2.631		
585	2.630		
586	2.630		
587	2.629		
588	2.629		
589	2.628		
590	2.627		
591	2.627		
592	2.626		
593	2.626		
594	2.625		
595	2.625		
596	2.624		
597	2.624		
598	2.623		
599	2.623		
600	2.622		
601	2.622		
602	2.622		
603	2.621		
604	2.621		
605	2.620		
606	2.619		
607	2.619		
608	2.618		
609	2.618		
610	2.617		
611	2.617		
612	2.616		
613	2.616		
614	2.615		
615	2.615		
616	2.614		
617	2.614		
618	2.613		
619	2.613		
620	2.612		
621	2.612		
622	2.611		
623	2.611		
624	2.611		
625	2.610		
626	2.609		
627	2.609		
628	2.608		
629	2.608		
630	2.607		
631	2.607		
632	2.606		
633	2.606		
634	2.605		
635	2.604		
636	2.604		
637	2.603		
638	2.603		
639	2.602		
640	2.602		
641	2.601		
642	2.601		
643	2.601		
644	2.600		
645	2.600		
646	2.599		
647	2.599		
648	2.598		
649	2.598		
650	2.597		
651	2.596		
652	2.596		
653	2.595		
654	2.595		
655	2.594		
656	2.594		
657	2.593		
658	2.593		
659	2.592		
660	2.592		
661	2.592		
662	2.591		
663	2.591		
664	2.591		
665	2.591		
666	2.591		
667	2.590		
668	2.590		
669	2.590		
670	2.590		
671	2.590		
672	2.591		
673	2.591		
674	2.591		
675	2.591		
676	2.590		
677	2.591		
678	2.591		
679	2.591		
680	2.591		
681	2.592		
682	2.592		
683	2.592		
684	2.592		
685	2.592		
686	2.592		
687	2.592		
688	2.593		
689	2.593		
690	2.593		
691	2.593		
692	2.593		
693	2.593		
694	2.593		
695	2.594		
696	2.593		
697	2.593		
698	2.593		
699	2.593		
700	2.593		
701	2.593		
702	2.593		
703	2.592		
704	2.592		
705	2.592		
706	2.592		
707	2.592		
708	2.591		
709	2.592		
710	2.591		
711	2.591		
712	2.591		
713	2.591		
714	2.590		
715	2.590		
716	2.590		
717	2.589		
718	2.589		
719	2.588		
720	2.588		
721	2.588		
722	2.588		
723	2.587		
724	2.587		
725	2.586		
726	2.586		
727	2.585		
728	2.585		
729	2.584		
730	2.584		
731	2.584		
732	2.583		
733	2.582		
734	2.582		
735	2.582		
736	2.582		
737	2.581		
738	2.580		
739	2.580		
740	2.579		
741	2.579		
742	2.578		
743	2.578		
744	2.577		
745	2.577		
746	2.576		
747	2.576		
748	2.576		
749	2.575		
750	2.575		
751	2.574		
752	2.574		
753	2.573		
754	2.573		
755	2.573		
756	2.572		
757	2.572		
758	2.572		
759	2.571		
760	2.571		
761	2.570		
762	2.570		
763	2.569		
764	2.569		
765	2.569	4	
766	2.568		
767	2.568		
768	2.568		
769	2.567		
770	2.567		
771	2.566		
772	2.566		
773	2.565		
774	2.565		
775	2.565		
776	2.564		
777	2.564		
778	2.563		
779	2.563		
780	2.563		
781	2.562		
782	2.562		
783	2.561		
784	2.561		
785	2.560		
786	2.560		
787	2.559		
788	2.559		
789	2.559		
790	2.558		
791	2.558		
792	2.557		
793	2.557		
794	2.556		
795	2.556		
796	2.556		
797	2.555		
798	2.555		
799	2.554		
800	2.554		
801	2.554		
802	2.554		
803	2.553		
804	2.553		
805	2.552		
806	2.552		
807	2.552		
808	2.551		
809	2.550		
810	2.550		
811	2.549		
812	2.549		
813	2.548		
814	2.548		
815	2.548		
816	2.548		
817	2.548		
818	2.548		
819	2.548		
820	2.548		
821	2.548		
822	2.549		
823	2.550		
824	2.550		
825	2.552		
826	2.553		
827	2.555		
828	2.556		
829	2.558		
830	2.561		
831	2.563		
832	2.565		
833	2.568		
834	2.571		
835	2.573		
836	2.577		
837	2.580		
838	2.583		
839	2.586		
840	2.590		
841	2.593		
842	2.596		
843	2.600		
844	2.603		
845	2.607		
846	2.610		
847	2.613		
848	2.617		
849	2.620		
850	2.624		
851	2.627		
852	2.630		
853	2.634		
854	2.637		
855	2.640		
856	2.643		
857	2.647		
858	2.650		
859	2.654		
860	2.657		
861	2.661		
862	2.664		
863	2.668		
864	2.672		
865	2.675		
866	2.679		
867	2.683		
868	2.687		
869	2.690		
870	2.694		
871	2.698		
872	2.702		
873	2.706		
874	2.709		
875	2.713		
876	2.717		
877	2.720		
878	2.723		
879	2.726		
880	2.729		
881	2.733		
882	2.736		
883	2.738		
884	2.741		
885	2.744		
886	2.746		
887	2.749		
888	2.751		
889	2.754		
890	2.756		
891	2.758		
892	2.760		
893	2.762	4	
894	2.764		
895	2.766		
896	2.768		
897	2.769		
898	2.771		
899	2.772		
900	2.774		
901	2.775		
902	2.777		
903	2.778		
904	2.780		
905	2.781		
906	2.782		
907	2.783		
908	2.784		
909	2.786		
910	2.786		
911	2.787		
912	2.788		
913	2.789		
914	2.789		
915	2.789		
916	2.790		
917	2.790		
918	2.791		
919	2.791		
920	2.791		
921	2.791		
922	2.791		
923	2.791		
924	2.790		
925	2.790		
926	2.790		
927	2.789		
928	2.789		
929	2.788		
930	2.788		
931	2.787		
932	2.787		
933	2.786		
934	2.785		
935	2.784		
936	2.783		
937	2.783		
938	2.781		
939	2.780		
940	2.779		
941	2.778		
942	2.777		
943	2.775		
944	2.774		
945	2.772		
946	2.771		
947	2.770		
948	2.769		
949	2.767		
950	2.766		
951	2.765		
952	2.763		
953	2.762		
954	2.761		
955	2.761		
956	2.760		
957	2.759		
958	2.759		
959	2.759		
960	2.760		
961	2.760		
962	2.761		
963	2.762		
964	2.763		
965	2.764		
966	2.766		
967	2.768		
968	2.770		
969	2.772		
970	2.774		
971	2.777		
972	2.779		
973	2.782		
974	2.784		
975	2.787		
976	2.789		
977	2.792		
978	2.794		
979	2.797		
980	2.800		
981	2.802		
982	2.805		
983	2.807		
984	2.810		
985	2.812		
986	2.814		
987	2.816		
988	2.818		
989	2.821		
990	2.822		
991	2.825		
992	2.826		
993	2.828		
994	2.830		
995	2.831		
996	2.833		
997	2.835		
998	2.837		
999	2.838		
1000	2.840		
1001	2.841		
1002	2.843		
1003	2.844		
1004	2.845		
1005	2.847		
1006	2.848		
1007	2.850		
1008	2.851		
1009	2.852		
1010	2.853		
1011	2.854		
1012	2.855		
1013	2.856		
1014	2.857		
1015	2.857		
1016	2.858		
1017	2.858		
1018	2.858		
1019	2.859		
1020	2.859		
1021	2.859		
1022	2.859		
1023	2.859		
1024	2.859		
1025	2.859		
1026	2.859		
1027	2.858		
1028	2.858		
1029	2.858		
1030	2.858		
1031	2.857		
1032	2.856		
1033	2.855		
1034	2.855		
1035	2.854		
1036	2.853		
1037	2.852		
1038	2.851		
1039	2.850		
1040	2.849		
1041	2.848		
1042	2.847		
1043	2.846		
1044	2.845		
1045	2.844		
1046	2.843		
1047	2.841		
1048	2.840		
1049	2.839		
1050	2.838		
1051	2.837		
1052	2.835		
1053	2.834		
1054	2.832		
1055	2.831		
1056	2.829		
1057	2.828		
1058	2.827		
1059	2.826		
1060	2.825		
1061	2.824		
1062	2.823		
1063	2.821		
1064	2.819		
1065	2.818		
1066	2.816		
1067	2.815		
1068	2.813		
1069	2.811		
1070	2.809		
1071	2.808		
1072	2.806		
1073	2.804		
1074	2.803		
1075	2.801		
1076	2.800		
1077	2.798		
1078	2.797		
1079	2.795		
1080	2.794		
1081	2.792		
1082	2.790		
1083	2.789		
1084	2.787		
1085	2.786		
1086	2.784		
1087	2.782		
1088	2.780		
1089	2.778		
1090	2.777		
1091	2.775		
1092	2.773		
1093	2.772		
1094	2.770		
1095	2.768		
1096	2.767		
1097	2.765		
1098	2.763		
1099	2.762		
1100	2.760		
1101	2.758		
1102	2.757		
1103	2.755		
1104	2.754		
1105	2.752		
1106	2.750		
1107	2.749		
1108	2.747		
1109	2.745		
1110	2.744		
1111	2.742		
1112	2.741		
1113	2.739		
1114	2.738		
1115	2.737		
1116	2.735		
1117	2.734		
1118	2.732		
1119	2.731		
1120	2.730		
1121	2.728		
1122	2.727		
1123	2.725		
1124	2.724		
1125	2.723		
1126	2.722		
1127	2.720		
1128	2.719		
1129	2.717		
1130	2.716		
1131	2.715		
1132	2.713		
1133	2.712		
1134	2.711		
1135	2.710		
1136	2.708		
1137	2.707		
1138	2.706		
1139	2.705		
1140	2.703		
1141	2.702		
1142	2.701		
1143	2.700		
1144	2.699		
1145	2.698		
1146	2.697		
1147	2.696		
1148	2.694		
1149	2.694	4	
1150	2.692		
1151	2.691		
1152	2.690		
1153	2.689		
1154	2.688		
1155	2.687		
1156	2.687		
1157	2.685		
1158	2.685		
1159	2.684		
1160	2.683		
1161	2.682		
1162	2.681		
1163	2.680		
1164	2.679		
1165	2.679		
1166	2.678		
1167	2.677		
1168	2.676		
1169	2.676		
1170	2.675		
1171	2.674		
1172	2.673		
1173	2.672		
1174	2.671		
1175	2.671		
1176	2.670		
1177	2.669		
1178	2.668		
1179	2.668		
1180	2.667		
1181	2.666		
1182	2.665		
1183	2.665		
1184	2.664		
1185	2.664		
1186	2.663		
1187	2.663		
1188	2.662		
1189	2.662		
1190	2.661		
1191	2.661		
1192	2.660		
1193	2.660		
1194	2.660		
1195	2.659		
1196	2.659		
1197	2.658		
1198	2.658		
1199	2.658		
1200	2.658		
1201	2.658		
1202	2.658		
1203	2.659		
1204	2.659		
1205	2.660		
1206	2.661		
1207	2.663		
1208	2.665		
1209	2.667		
1210	2.669		
1211	2.672		
1212	2.675		
1213	2.678		
1214	2.681		
1215	2.685		
1216	2.688		
1217	2.693		
1218	2.697		
1219	2.702		
1220	2.706		
1221	2.711		
1222	2.715		
1223	2.720		
1224	2.725		
1225	2.729		
1226	2.735		
1227	2.739		
1228	2.744		
1229	2.749		
1230	2.753		
1231	2.758		
1232	2.762		
1233	2.767		
1234	2.770		
1235	2.774		
1236	2.778		
1237	2.781		
1238	2.785		
1239	2.788		
1240	2.791		
1241	2.794		
1242	2.797		
1243	2.799		
1244	2.802		
1245	2.804		
1246	2.806		
1247	2.808		
1248	2.810		
1249	2.812		
1250	2.813		
1251	2.815		
1252	2.817		
1253	2.818		
1254	2.820		
1255	2.821		
1256	2.822		
1257	2.823		
1258	2.824		
1259	2.825		
1260	2.826		
1261	2.827		
1262	2.827		
1263	2.828		
1264	2.828		
1265	2.829		
1266	2.828		
1267	2.829		
1268	2.829		
1269	2.829		
1270	2.829		
1271	2.829		
1272	2.829		
1273	2.829		
1274	2.829		
1275	2.829		
1276	2.829		
1277	2.828		
1278	2.828		
1279	2.828		
1280	2.827		
1281	2.827		
1282	2.826		
1283	2.826		
1284	2.825		
1285	2.825		
1286	2.824		
1287	2.823		
1288	2.822		
1289	2.821		
1290	2.821		
1291	2.819		
1292	2.819		
1293	2.818		
1294	2.816		
1295	2.816		
1296	2.815		
1297	2.814		
1298	2.812		
1299	2.812		
1300	2.810		
1301	2.809		
1302	2.808		
1303	2.807		
1304	2.806		
1305	2.804		
1306	2.803		
1307	2.801		
1308	2.800		
1309	2.799		
1310	2.797		
1311	2.796		
1312	2.794		
1313	2.793		
1314	2.791		
1315	2.790		
1316	2.788		
1317	2.787		
1318	2.785		
1319	2.783		
1320	2.782		
1321	2.780		
1322	2.779		
1323	2.777		
1324	2.776		
1325	2.774		
1326	2.773		
1327	2.771		
1328	2.770		
1329	2.768		
1330	2.766		
1331	2.765		
1332	2.763		
1333	2.762		
1334	2.760		
1335	2.759		
1336	2.757		
1337	2.756		
1338	2.754		
1339	2.753		
1340	2.751		
1341	2.750		
1342	2.748		
1343	2.747		
1344	2.746		
1345	2.744		
1346	2.742		
1347	2.742		
1348	2.740		
1349	2.738		
1350	2.737		
1351	2.735		
1352	2.734		
1353	2.732		
1354	2.731		
1355	2.730		
1356	2.729		
1357	2.727		
1358	2.726		
1359	2.725		
1360	2.724		
1361	2.722		
1362	2.721		
1363	2.720		
1364	2.719		
1365	2.718		
1366	2.716		
1367	2.715		
1368	2.714		
1369	2.713		
1370	2.712		
1371	2.710		
1372	2.709		
1373	2.708		
1374	2.707		
1375	2.705		
1376	2.704		
1377	2.704		
1378	2.702		
1379	2.702		
1380	2.700		
1381	2.699		
1382	2.698		
1383	2.697		
1384	2.696		
1385	2.695		
1386	2.694		
1387	2.693		
1388	2.692		
1389	2.691		
1390	2.690		
1391	2.689		
1392	2.689		
1393	2.688		
1394	2.687		
1395	2.686		
1396	2.685		
1397	2.684		
1398	2.684		
1399	2.683		
1400	2.682		
1401	2.682		
1402	2.681		
1403	2.680		
1404	2.680		
1405	2.679		
1406	2.679		
1407	2.679		
1408	2.678		
1409	2.678		
1410	2.678		
1411	2.678		
1412	2.677		
1413	2.677		
1414	2.677		
1415	2.677		
1416	2.677		
1417	2.676		
1418	2.676		
1419	2.676		
1420	2.676		
1421	2.675		
1422	2.675		
1423	2.675		
1424	2.675		
1425	2.674		
1426	2.674		
1427	2.674		
1428	2.674		
1429	2.674		
1430	2.673		
1431	2.673		
1432	2.673		
1433	2.672		
1434	2.672		
1435	2.672		
1436	2.671		
1437	2.671		
1438	2.670		
1439	2.670		
1440	2.669		
1441	2.669		
1442	2.669		
1443	2.668		
1444	2.667		
1445	2.667		
1446	2.667		
1447	2.666		
1448	2.666		
1449	2.665		
1450	2.665		
1451	2.664		
1452	2.664		
1453	2.663		
1454	2.663		
1455	2.662		
1456	2.662		
1457	2.661		
1458	2.661		
1459	2.660		
1460	2.659		
1461	2.659		
1462	2.658		
1463	2.658		
1464	2.658		
1465	2.657		
1466	2.657		
1467	2.656		
1468	2.655		
1469	2.655		
1470	2.654		
1471	2.653		
1472	2.653		
1473	2.652		
1474	2.652		
1475	2.651		
1476	2.650		
1477	2.650		
1478	2.649		
1479	2.649		
1480	2.648		
1481	2.648		
1482	2.647		
1483	2.647		
1484	2.646		
1485	2.645		
1486	2.645		
1487	2.644		
1488	2.643		
1489	2.643		
1490	2.642		
1491	2.642		
1492	2.641		
1493	2.641		
1494	2.640		
1495	2.640		
1496	2.640		
1497	2.639		
1498	2.639		
1499	2.639		
1500	2.639		
1501	2.639		
1502	2.639		
1503	2.639		
1504	2.639		
1505	2.639		
1506	2.639		
1507	2.639		
1508	2.639		
1509	2.640		
1510	2.640		
1511	2.641		
1512	2.641		
1513	2.642		
1514	2.643		
1515	2.644		
1516	2.645		
1517	2.646		
1518	2.647		
1519	2.648		
1520	2.650		
1521	2.651		
1522	2.653		
1523	2.654		
1524	2.656		
1525	2.658		
1526	2.659		
1527	2.661		
1528	2.662		
1529	2.664		
1530	2.666		
1531	2.667		
1532	2.669		
1533	2.670		
1534	2.672		
1535	2.673		
1536	2.675		
1537	2.676		
1538	2.677		
1539	2.679		
1540	2.680		
1541	2.681		
1542	2.682		
1543	2.683		
1544	2.684		
1545	2.685		
1546	2.686		
1547	2.687		
1548	2.687		
1549	2.688		
1550	2.689		
1551	2.689		
1552	2.690		
1553	2.690		
1554	2.691		
1555	2.691		
1556	2.691		
1557	2.691		
1558	2.691		
1559	2.692		
1560	2.691		
1561	2.692		
1562	2.692		
1563	2.691		
1564	2.692		
1565	2.691		
1566	2.691		
1567	2.691		
1568	2.691		
1569	2.691		
1570	2.690		
1571	2.690		
1572	2.690		
1573	2.690		
1574	2.689		
1575	2.689		
1576	2.688		
1577	2.688		
1578	2.687		
1579	2.687		
1580	2.686		
1581	2.685		
1582	2.685		
1583	2.684		
1584	2.684		
1585	2.683		
1586	2.683		
1587	2.682		
1588	2.681		
1589	2.681		
1590	2.680		
1591	2.679		
1592	2.678		
1593	2.678		
1594	2.677		
1595	2.676		
1596	2.676		
1597	2.675		
1598	2.674		
1599	2.674		
1600	2.673		
1601	2.672		
1602	2.672		
1603	2.671		
1604	2.670		
1605	2.669		
1606	2.668		
1607	2.668		
1608	2.667		
1609	2.667		
1610	2.666		
1611	2.665		
1612	2.664		
1613	2.664		
1614	2.663		
1615	2.662		
1616	2.662		
1617	2.661		
1618	2.660		
1619	2.659		
1620	2.659		
1621	2.658		
1622	2.657		
1623	2.657		
1624	2.656		
1625	2.655		
1626	2.654		
1627	2.654		
1628	2.653		
1629	2.652		
1630	2.652		
1631	2.651		
1632	2.650		
1633	2.649		
1634	2.649		
1635	2.648		
1636	2.648		
1637	2.647		
1638	2.647		
1639	2.647		
1640	2.646		
1641	2.645		
1642	2.645		
1643	2.644		
1644	2.644		
1645	2.643		
1646	2.643		
1647	2.642		
1648	2.642		
1649	2.641		
1650	2.640		
1651	2.640		
1652	2.640		
1653	2.639		
1654	2.639		
1655	2.638		
1656	2.638		
1657	2.638		
1658	2.637		
1659	2.637		
1660	2.636		
1661	2.636		
1662	2.636		
1663	2.635		
1664	2.635		
1665	2.634		
1666	2.634		
1667	2.634		
1668	2.634		
1669	2.633		
1670	2.633		
1671	2.632		
1672	2.632		
1673	2.631		
1674	2.631		
1675	2.631		
1676	2.630		
1677	2.629		
1678	2.629		
1679	2.629		
1680	2.628		
1681	2.628		
1682	2.627		
1683	2.627		
1684	2.626		
1685	2.626		
1686	2.626		
1687	2.626		
1688	2.625		
1689	2.625		
1690	2.624		
1691	2.624		
1692	2.623		
1693	2.623		
1694	2.622		
1695	2.622		
1696	2.621		
1697	2.621		
1698	2.621		
1699	2.620		
1700	2.620		
1701	2.619		
1702	2.619		
1703	2.618		
1704	2.618		
1705	2.618		
1706	2.617		
1707	2.617		
1708	2.616		
1709	2.616		
1710	2.615		
1711	2.615		
1712	2.614		
1713	2.614		
1714	2.614		
1715	2.613		
1716	2.613		
1717	2.612		
1718	2.612		
1719	2.611		
1720	2.611		
1721	2.611		
1722	2.610		
1723	2.610		
1724	2.609		
1725	2.609		
1726	2.608		
1727	2.608		
1728	2.608		
1729	2.607		
1730	2.607		
1731	2.606		
1732	2.606		
1733	2.606		
1734	2.605		
1735	2.605		
1736	2.605		
1737	2.604		
1738	2.604		
1739	2.604		
1740	2.603		
1741	2.603		
1742	2.603		
1743	2.602		
1744	2.602		
1745	2.601		
1746	2.601		
1747	2.601		
1748	2.600		
1749	2.600		
1750	2.600		
1751	2.600		
1752	2.599		
1753	2.599		
1754	2.598		
1755	2.598		
1756	2.598		
1757	2.598		
1758	2.598		
1759	2.597		
1760	2.597		
1761	2.597		
1762	2.597		
1763	2.596		
1764	2.596		
1765	2.596		
1766	2.596		
1767	2.596		
1768	2.595		
1769	2.595		
1770	2.595		
1771	2.595		
1772	2.595		
1773	2.595		
1774	2.595		
1775	2.595		
1776	2.595		
1777	2.596		
1778	2.596		
1779	2.596		
1780	2.597		
1781	2.597		
1782	2.597		
1783	2.598		
1784	2.598		
1785	2.599		
1786	2.599		
1787	2.600		
1788	2.600		
1789	2.601		
1790	2.602		
1791	2.602		
1792	2.603		
1793	2.604		
1794	2.604		
1795	2.605		
1796	2.606		
1797	2.606		
1798	2.607		
1799	2.608		
1800	2.608		
1801	2.609		
1802	2.609		
1803	2.610		
1804	2.611		
1805	2.611		
1806	2.612		
1807	2.612		
1808	2.613		
1809	2.613		
1810	2.614		
1811	2.614		
1812	2.615		
1813	2.615		
1814	2.616		
1815	2.616		
1816	2.616		
1817	2.617		
1818	2.617		
1819	2.618		
1820	2.618		
1821	2.618		
1822	2.618		
1823	2.619		
1824	2.619		
1825	2.619		
1826	2.620		
1827	2.619		
1828	2.620		
1829	2.620		
1830	2.620		
1831	2.620		
1832	2.620		
1833	2.620		
