RAW Data export file (tab separated)


Client:	Test,Data
Session:	Testdata
Date:	22-01-2016
Time:	11:07:59
Duration:	124	Seconds.
Output rate:	32	Samples/sec.

Samples	32 SPS	
TIME	Sensor-13:SC/GSR	Events	


436	16.466	71	
437	16.482		
438	16.497		
439	16.512		
440	16.535		
441	16.542		
442	16.571		
443	16.582		
444	16.606		
445	16.617		
446	16.638		
447	16.654		
448	16.664		
449	16.687		
450	16.693		
451	16.714		
452	16.719		
453	16.737		
454	16.744		
455	16.752		
456	16.766		
457	16.765		
458	16.781		
459	16.782		
460	16.792		
461	16.792		
462	16.800		
463	16.805		
464	16.802		
465	16.812		
466	16.806		
467	16.814	72	
468	16.808		
469	16.812		
470	16.810		
471	16.809		
472	16.810		
473	16.801		
474	16.805		
475	16.795		
476	16.797		
477	16.788		
478	16.790		
479	16.786		
480	16.776		
481	16.774		
482	16.761		
483	16.764		
484	16.752		
485	16.750		
486	16.738		
487	16.730		
488	16.731		
489	16.715		
490	16.715		
491	16.700		
492	16.697		
493	16.686		
494	16.680		
495	16.672		
496	16.660		
497	16.658		
498	16.646		
499	16.642		
500	16.632		
501	16.630	73	
502	16.622		
503	16.614		
504	16.617		
505	16.603		
506	16.607		
507	16.595		
508	16.597		
509	16.590		
510	16.590		
511	16.588		
512	16.580		
513	16.586		
514	16.578		
515	16.578		
516	16.572		
517	16.574		
518	16.568		
519	16.567		
520	16.566		
521	16.558		
522	16.564		
523	16.557		
524	16.559		
525	16.551		
526	16.555		
527	16.553		
528	16.548		
529	16.553		
530	16.544		
531	16.550		
532	16.548		
533	16.549		
534	16.547		
535	16.549		
536	16.554		
537	16.547		
538	16.557		
539	16.552		
540	16.557		
541	16.558	74	
542	16.564		
543	16.566		
544	16.564		
545	16.575		
546	16.569		
547	16.580		
548	16.575		
549	16.580		
550	16.578		
551	16.581		
552	16.588		
553	16.580		
554	16.588		
555	16.583		
556	16.587		
557	16.584		
558	16.585		
559	16.587		
560	16.578		
561	16.586		
562	16.577		
563	16.580		
564	16.575		
565	16.574		
566	16.572		
567	16.568		
568	16.571		
569	16.562		
570	16.566		
571	16.555		
572	16.559		
573	16.548	75	
574	16.549		
575	16.548		
576	16.538		
577	16.542		
578	16.530		
579	16.532		
580	16.521		
581	16.524		
582	16.515		
583	16.510		
584	16.513		
585	16.500		
586	16.504		
587	16.493		
588	16.493		
589	16.483		
590	16.482		
591	16.476		
592	16.467		
593	16.469		
594	16.457		
595	16.459		
596	16.452		
597	16.450		
598	16.443		
599	16.436		
600	16.439		
601	16.425		
602	16.428		
603	16.418		
604	16.420	76	
605	16.412		
606	16.410		
607	16.408		
608	16.397		
609	16.403		
610	16.391		
611	16.397		
612	16.389		
613	16.394		
614	16.390		
615	16.389		
616	16.397		
617	16.390		
618	16.403		
619	16.399		
620	16.408		
621	16.409		
622	16.420		
623	16.427		
624	16.428		
625	16.445		
626	16.445		
627	16.459		
628	16.465		
629	16.478		
630	16.485		
631	16.493		
632	16.506		
633	16.510		
634	16.528		
635	16.529		
636	16.547		
637	16.551		
638	16.564		
639	16.575		
640	16.581		
641	16.600		
642	16.602		
643	16.618	77	
644	16.621		
645	16.634		
646	16.639		
647	16.646		
648	16.659		
649	16.657		
650	16.673		
651	16.673		
652	16.685		
653	16.686		
654	16.695		
655	16.698		
656	16.698		
657	16.709		
658	16.704		
659	16.713		
660	16.712		
661	16.713		
662	16.714		
663	16.711		
664	16.717		
665	16.707		
666	16.714		
667	16.703		
668	16.708		
669	16.699		
670	16.698		
671	16.696		
672	16.688		
673	16.693		
674	16.680		
675	16.683		
676	16.673		
677	16.674		
678	16.668		
679	16.664		
680	16.664		
681	16.654		
682	16.660	78	
683	16.651		
684	16.656		
685	16.649		
686	16.650		
687	16.651		
688	16.646		
